0	776 2919 4576 4485 2380 4261 3622 1456 2109 3227 
1	4358 4350 559 1136 2848 1345 1428 4212 2681 120 
2	3614 3035 4592 1191 441 1408 734 1005 4826 33 
3	691 878 1938 3381 127 4283 2269 3814 2908 1864 
4	3781 603 1262 1988 1309 864 3511 729 1454 2845 
5	3183 3575 180 4367 3616 4072 824 4976 4021 3361 
6	3210 1956 2421 203 3006 2706 4794 4805 4180 2124 
7	1548 3831 1447 3040 4137 3055 809 4497 2052 4994 
8	4202 3124 1459 1838 3311 1236 4896 3525 1603 3083 
9	2615 1741 4183 4395 959 3753 555 1160 306 2819 
10	614 615 2964 3916 983 1143 2580 3226 2804 953 
11	3628 3663 3948 1221 3193 3890 3390 2894 602 4815 
12	1193 236 4201 538 1981 4815 3747 641 906 1203 
13	1100 2851 540 3517 95 3739 1630 2071 1290 3434 
14	3385 2639 890 4292 3488 4743 731 4004 1187 1548 
15	685 805 3436 3755 1744 3914 1768 681 4310 4101 
16	1421 2368 2895 1323 4354 3692 1587 4924 2520 3613 
17	21 3350 4483 4409 1381 3962 4039 3372 4470 3930 
18	4454 1888 3415 103 636 3615 1140 3335 2052 2187 
19	3158 3075 4355 4462 951 283 2931 5 1905 3354 
20	3045 1558 5 4334 2285 834 2658 2730 2123 3545 
21	4340 4216 5 29 441 1620 2413 1195 3695 3183 
22	253 796 276 2713 4720 3986 1547 229 3542 784 
23	2453 297 2970 2399 2916 4878 3712 3050 4540 4307 
24	664 2054 2671 2353 606 889 2992 526 3680 2354 
25	4884 2754 4560 3028 1999 2596 217 500 4628 1615 
26	1377 4995 2429 3189 4822 3501 1491 1579 289 3273 
27	183 4661 800 1543 3752 4926 4930 3118 2783 3741 
28	1680 3336 3194 1712 3980 4226 2859 1611 3553 3272 
29	4561 1204 3450 2852 3867 4086 2472 908 2724 3345 
30	3457 4446 1775 2513 1134 4650 3096 3620 4780 2165 
31	2275 3240 955 900 1158 2696 1131 123 1522 2673 
32	4764 190 342 4763 1013 3950 3519 1947 1775 2151 
33	3020 4368 4602 1377 3964 282 1096 1099 2766 2560 
34	677 2480 4712 767 2589 894 575 2249 2638 462 
35	992 4431 2796 1337 2595 2445 2554 3808 1110 1483 
36	4542 1489 124 2084 401 926 1258 4625 2411 3354 
37	3891 2080 1953 3139 4093 1196 4662 3960 2843 2859 
38	440 4584 1668 3101 2490 2911 1470 2539 2440 4272 
39	2636 1000 4864 661 546 2266 2131 2356 2482 4015 
40	3755 1886 4639 2682 1413 4500 4527 395 1426 3629 
41	1294 1580 2355 2375 4685 4851 1599 2271 3632 4537 
42	4920 3628 2274 3132 4142 3496 3270 1327 2263 328 
43	4506 1702 157 3791 1099 3009 4128 2324 3163 2582 
44	1686 4290 1852 2855 4961 3633 4488 2015 311 3333 
45	4560 2269 3125 1904 1364 4320 3116 549 359 537 
46	822 1946 3447 4051 92 133 4244 2458 492 123 
47	4823 136 4894 1857 4741 567 3435 3401 3929 2097 
48	4906 3345 159 1906 1402 948 1192 369 4248 2463 
49	2071 4419 2614 404 1697 3061 1978 4442 2385 714 
50	1982 1526 2256 2624 2276 4348 4917 1051 2883 1755 
